Seed,ID,Energy,Psi(deg),Impact(km),Ground(km),Triggered,Psi(deg),Impact(km),Ground(km),Cherenkov,Psi(deg),Impact(km),Ground(km)
3,1,1.19E+20,71.435609,30.249138,32.003176,1,66.289667,26.762185,29.35091,1,88.256794,41.139137,41.167423
3,2,1.92E+18,165.914019,6.976708,27.239214,1,177.195265,0.033078,6.683911,0,0,0,0
3,3,2.37E+19,104.798931,39.534177,40.835843,1,78.339614,25.904391,26.494264,1,148.377596,56.151269,106.754065
3,4,1.94E+19,48.700769,8.334496,11.294621,1,48.645433,8.327638,11.295231,1,45.350904,7.623975,10.941992
3,5,1.57E+19,86.388913,23.189468,23.24916,1,85.703965,22.908722,22.989252,1,91.179726,25.00976,25.01173
3,6,8.03E+18,76.646785,17.176836,17.705723,1,79.970954,18.208003,18.529228,1,75.49667,16.775986,17.384281
3,7,3.11E+20,125.405114,39.905296,48.802171,1,87.958753,25.509268,25.534309,1,132.109508,41.768457,56.102462
3,8,3.24E+19,116.688199,30.299262,33.786775,1,116.151939,30.150009,33.466196,1,136.578909,34.953765,50.587924
3,9,8.17E+20,60.003928,29.704632,34.415016,1,61.02457,30.408279,34.870858,1,67.6423,35.874143,38.873155
3,10,1.39E+20,59.54737,32.365578,37.674687,1,58.740834,31.730748,37.253307,1,62.342523,34.918043,39.538167
3,11,7.86E+19,55.092207,19.058661,23.551517,1,47.091245,15.658783,21.784336,0,0,0,0
3,12,2.58E+20,99.019002,38.778503,39.232692,1,91.467864,34.700568,34.707408,1,121.742815,49.775006,58.406572
3,13,4.91E+19,69.035617,31.709879,34.038858,1,66.219056,29.550847,32.385849,1,81.047827,40.43414,40.966354
3,14,5.47E+19,99.256241,4.650389,4.678125,1,99.505567,4.660029,4.690368,1,97.412046,4.510432,4.523262
3,15,4.54E+20,88.19284,36.090662,36.117366,1,34.534209,6.546151,11.906291,0,0,0,0
3,16,2.31E+20,76.698878,38.25876,39.363333,1,74.710438,36.709,38.113679,1,103.256246,58.154916,59.698047
3,17,7.29E+19,76.690084,30.510323,31.400508,1,64.391911,22.579128,25.135434,0,0,0,0
3,18,4.13E+20,122.457398,26.792253,31.573944,1,101.418321,21.488737,21.867766,1,122.909671,26.563245,31.460363
3,19,1.60E+20,91.091857,37.116621,37.120087,1,84.538379,32.803039,32.972384,1,88.922134,35.355131,35.365721
3,20,7.53E+19,68.310522,28.014328,30.260648,1,66.72844,27.002421,29.514385,1,68.581,28.224474,30.428461
3,21,1.99E+19,98.530008,39.883203,40.258398,1,95.458577,39.0242,39.157421,0,0,0,0
3,22,3.34E+19,136.339557,35.228573,50.803672,1,84.444516,19.407696,19.521252,1,134.61826,34.462731,48.205662
3,23,2.58E+19,65.048761,22.882708,25.464985,1,55.076917,19.822297,24.519722,0,0,0,0
3,24,1.58E+20,89.863055,21.392454,21.393928,1,89.432273,21.06449,21.068456,1,87.335776,20.368319,20.400646
3,25,2.44E+19,164.946782,22.721494,86.732902,1,20.735566,1.11025,3.676397,0,0,0,0
3,26,9.03E+19,108.391186,34.29335,36.070363,1,87.923335,25.366303,25.391392,1,128.549613,40.842079,52.057349
3,27,5.98E+19,83.772971,35.732615,35.967878,1,78.381553,32.310351,33.029434,1,171.495697,71.945604,485.116953
3,28,2.60E+19,8.063389,17.903279,129.475853,1,169.497188,1.157984,4.949601,0,0,0,0
3,29,3.93E+19,140.492636,32.321157,50.520173,1,81.161614,16.427773,16.66325,0,0,0,0
3,30,8.38E+20,67.550183,22.110374,24.09266,1,41.124884,9.233847,14.519572,1,68.449493,22.665897,24.536444
3,31,1.02E+19,92.264421,24.501261,24.51328,1,89.107615,23.270031,23.276856,1,94.551032,25.291017,25.355797
