Seed,ID,Energy,Psi(deg),Impact(km),Ground(km),Triggered,Psi(deg),Impact(km),Ground(km),Cherenkov,Psi(deg),Impact(km),Ground(km)
4,1,4.33E+19,123.644795,37.0492,44.367752,1,111.416842,32.753134,35.102503,1,115.300636,34.069883,37.588058
4,2,7.07E+20,114.075252,29.492788,32.207099,1,104.768665,26.477948,27.326626,1,106.427548,26.951794,28.036132
4,3,8.24E+19,111.283226,37.517381,40.184693,1,94.863971,30.361259,30.454356,1,170.575864,51.76131,314.890141
4,4,6.88E+20,50.37418,18.962695,24.792009,1,30.773482,7.292987,14.602318,0,0,0,0
4,5,7.80E+19,50.661739,37.427416,48.566699,1,37.733341,22.061306,36.322937,1,127.480957,148.121825,186.493606
4,6,1.41E+20,82.90571,25.772244,25.996752,1,82.253309,25.492653,25.755455,1,81.898661,25.361652,25.646575
4,7,2.78E+20,141.012437,11.45288,17.936734,1,113.132472,9.288516,10.010306,1,142.408029,11.282478,18.214397
4,8,3.34E+20,71.887996,16.012096,16.929741,1,70.693499,15.61681,16.635993,1,67.873656,14.793672,16.072374
4,9,9.23E+20,115.045725,17.808552,19.562556,1,111.413218,17.065594,18.252052,1,119.573146,18.378995,21.017103
4,10,2.73E+20,67.818937,34.123283,36.937176,1,66.665062,33.206745,36.256649,1,170.282379,91.378197,540.129767
4,11,6.97E+20,134.204633,31.476147,43.690875,1,92.26349,20.10887,20.116967,0,0,0,0
4,12,6.01E+19,96.468485,27.093898,27.245536,1,92.965626,25.661345,25.686173,1,103.764863,29.641069,30.469168
4,13,1.00E+20,90.423291,25.487999,25.488001,1,88.230934,24.403727,24.42236,1,87.511445,24.12695,24.159245
4,14,1.25E+20,86.260529,11.95907,11.999338,1,87.040811,12.094111,12.122259,1,85.365992,11.782778,11.839337
4,15,2.15E+19,104.789356,19.1595,19.763233,1,95.580507,16.718298,16.779244,1,107.354237,19.442018,20.306613
4,16,2.23E+19,79.320013,24.877054,25.356406,1,56.046075,14.359495,17.454873,0,0,0,0
4,17,5.29E+20,62.020753,31.488166,35.762551,1,61.309678,30.592909,34.984632,1,64.729391,33.500415,37.14062
4,18,9.48E+20,87.324405,27.683595,27.72422,1,75.322661,21.705455,22.492584,1,122.803562,42.507445,50.439554
4,19,1.13E+19,85.880917,26.476919,26.560913,1,80.058345,23.8026,24.201963,1,96.334432,31.154449,31.323907
4,20,1.22E+20,111.609331,38.185324,40.992085,1,97.044161,31.893627,32.111745,1,152.062256,50.558676,107.530631
4,21,6.35E+19,176.248192,29.96198,454.755237,1,3.382978,0.027055,3.887764,0,0,0,0
4,22,6.26E+19,103.490629,32.333067,33.200363,1,94.727197,28.765513,28.846964,1,97.473052,29.886148,30.11514
4,23,1.65E+20,131.173127,32.799704,43.396174,1,52.500461,8.665364,11.081005,0,0,0,0
4,24,2.16E+20,101.850044,6.887681,6.985459,1,100.330124,6.751349,6.817971,1,101.294489,6.782329,6.866815
4,25,1.93E+19,62.88406,28.142966,31.73483,1,62.359165,27.799026,31.499544,1,129.482249,72.813397,94.153745
4,26,1.69E+20,102.682257,39.322965,40.261442,1,92.3311,33.995062,34.015604,1,104.377485,40.135261,41.381686
4,27,6.17E+19,89.873221,37.836285,37.837521,1,85.471249,35.161545,35.289964,1,117.331853,53.056464,59.609512
4,28,1.28E+19,91.937672,19.065262,19.070354,1,90.977622,18.803032,18.803393,1,89.246303,18.316673,18.322083
4,29,1.53E+19,95.08295,12.653091,12.68521,1,91.357534,11.965195,11.965352,1,97.440438,13.008872,13.092195
4,30,5.57E+19,126.76291,19.447078,24.024909,1,114.467968,17.626816,19.217073,0,0,0,0
4,31,7.36E+20,27.559433,10.037424,26.966285,1,0.649903,0.000473,21.565615,0,0,0,0
4,32,9.57E+20,103.486034,22.855426,23.455688,1,105.176608,23.320931,24.109469,1,107.493246,23.894555,24.990054
4,33,1.45E+20,147.150698,29.038395,53.208077,1,96.69093,18.550552,18.654262,1,146.581523,28.687869,51.77021
4,34,3.10E+20,95.368671,19.814709,19.884224,1,81.658665,15.494153,15.690412,0,0,0,0
4,35,3.41E+20,118.352118,19.662752,22.228431,1,113.809793,18.791966,20.446861,1,125.865063,20.754179,25.456096
4,36,4.72E+19,61.775521,34.249872,38.987757,1,63.314807,35.55191,39.89872,1,155.086586,106.816029,253.107389
4,37,1.94E+20,89.757093,33.861384,33.863442,1,90.01453,34.001134,34.001853,1,99.599988,38.870454,39.384342
4,38,3.80E+19,39.697991,15.297931,24.209861,1,39.379978,15.080501,24.031615,0,0,0,0
4,39,3.30E+20,65.282942,5.719321,6.404196,1,77.038763,7.68179,7.931425,0,0,0,0
4,40,1.85E+20,152.979655,24.015734,52.376117,1,59.591707,7.560861,8.915709,0,0,0,0
4,41,5.52E+19,71.886311,37.781158,39.820996,1,76.008373,40.881333,42.184527,0,0,0,0
4,42,5.05E+19,83.100717,37.661281,37.96075,1,65.31377,25.713834,28.393024,1,138.937465,70.886358,107.683557
4,43,6.26E+20,96.58766,28.071273,28.227221,1,94.027527,27.084647,27.133645,1,101.69735,29.852188,30.429322
4,44,2.21E+19,118.870418,16.712218,18.974619,1,109.947339,15.146185,16.041338,1,115.133043,15.895818,17.465246
4,45,3.77E+19,68.486731,30.654102,33.034374,1,60.032828,24.299957,28.173443,1,77.394885,36.708728,37.663564
4,46,3.30E+20,71.707977,32.230346,34.014272,1,68.246933,29.445649,31.785945,1,100.358863,52.278573,53.107607
4,47,3.76E+20,92.543779,33.800903,33.825934,1,90.373264,32.517143,32.517145,1,101.877419,38.249489,39.044687
4,48,6.72E+18,111.569869,12.559207,13.416882,1,79.180328,7.605827,7.790148,1,109.317913,12.008293,12.64723
4,49,4.47E+19,52.013572,14.628071,18.72676,1,51.085401,14.196552,18.418026,1,51.536225,14.526985,18.722664
4,50,1.06E+20,81.555653,17.315012,17.536052,1,79.568386,16.616356,16.934144,1,84.630569,18.210648,18.311082
4,51,3.82E+17,76.826118,3.84163,3.997578,1,82.136383,4.186175,4.258426,0,0,0,0
4,52,1.44E+20,57.653793,34.281817,40.706866,1,58.300377,34.90524,41.151025,1,58.641828,35.340915,41.509843
4,53,3.81E+19,94.828772,29.644426,29.733794,1,91.280264,28.069317,28.072568,1,97.643258,30.776344,31.026035
4,54,4.96E+19,106.403931,28.481185,29.628097,1,90.862285,22.743679,22.744055,1,108.124206,28.646649,30.073641
4,55,1.25E+19,47.99286,6.631177,9.114029,1,50.219525,7.064807,9.368454,0,0,0,0
4,56,7.78E+20,92.16862,33.931701,33.949034,1,92.754983,34.007582,34.037894,1,99.539496,37.432573,37.924371
4,57,2.76E+20,89.825941,38.602171,38.604151,1,71.860845,27.378034,28.900159,1,92.881542,40.156331,40.1944
4,58,2.00E+20,85.700923,23.916843,24.000195,1,85.248297,23.761978,23.861391,1,89.952205,25.635192,25.636148
4,59,1.77E+19,59.587813,17.687187,20.665224,1,56.946153,16.38656,19.72281,0,0,0,0
4,60,2.02E+20,92.844038,29.853873,29.879712,1,94.01517,30.347536,30.406305,0,0,0,0
4,61,4.50E+20,92.376315,19.918958,19.928805,1,92.707213,19.846423,19.860146,1,94.696476,20.424677,20.478029
4,62,9.09E+19,109.799771,35.610471,37.767037,1,113.346146,36.886251,40.078511,1,106.821854,34.301967,35.767709
4,63,2.60E+20,77.83297,26.798742,27.461282,1,74.802406,25.156241,26.126577,1,87.094691,31.484494,31.536532
4,64,1.85E+18,144.361984,7.372715,12.370283,1,65.609616,2.975187,3.365541,0,0,0,0
4,65,1.60E+19,132.859901,20.429099,27.683412,1,83.779219,11.310128,11.400878,0,0,0,0
4,66,1.15E+20,93.072414,39.050662,39.096529,1,73.523018,26.748093,27.954187,1,131.165258,58.301246,77.267665
4,67,3.27E+19,76.648567,27.368865,28.177574,1,76.763659,27.468475,28.266128,1,84.039222,31.494798,31.68764
4,68,4.53E+20,76.32398,32.642541,33.644588,1,75.692784,32.264398,33.349046,1,89.832387,41.42422,41.425475
4,69,3.13E+20,76.591386,28.953631,29.816454,1,72.136422,26.024584,27.412049,1,77.163109,28.980358,29.77239
4,70,1.62E+20,88.135839,23.05049,23.070076,1,86.960188,22.427556,22.470674,1,91.867245,24.248525,24.25571
4,71,2.35E+20,97.014339,25.503208,25.671613,1,98.19289,25.709086,25.946064,1,92.755698,23.766588,23.785291
4,72,3.73E+20,89.810709,19.661371,19.663162,1,89.092126,19.415395,19.422044,1,95.149295,21.239232,21.308174
4,73,2.20E+20,91.327715,31.493723,31.498127,1,71.776944,21.389684,22.586867,1,86.178031,28.472872,28.550625
4,74,2.12E+20,102.16928,13.282806,13.543232,1,98.152171,12.587618,12.686989,1,106.744847,13.926752,14.480006
4,75,5.42E+20,38.075642,36.451359,59.473844,1,40.282904,39.386419,61.250995,0,0,0,0
4,76,2.96E+20,67.700499,20.707763,22.465879,1,63.637276,18.359659,20.592322,1,61.716378,17.537613,20.025543
4,77,1.45E+19,125.18304,31.683632,38.603987,1,87.360178,20.126289,20.159579,0,0,0,0
4,78,4.97E+19,92.428366,11.549707,11.550465,1,91.754623,11.413662,11.413662,0,0,0,0
4,79,1.52E+20,101.972817,16.416561,16.740407,1,101.855009,16.118508,16.429032,1,97.426027,15.148966,15.252345
4,80,7.28E+20,95.094796,28.371644,28.466517,1,97.011894,29.139255,29.334162,1,99.698514,30.174307,30.577219
4,81,3.31E+19,80.695259,31.138536,31.589824,1,80.396253,30.981452,31.45908,1,93.104881,38.296152,38.341352
4,82,6.91E+19,32.809045,6.680069,12.696549,1,32.619773,6.638524,12.685849,0,0,0,0
4,83,4.38E+20,111.654196,30.934037,33.196623,1,102.21519,27.761539,28.358049,1,123.479356,34.379906,41.074436
4,84,3.81E+19,115.381136,29.528372,32.588267,1,89.282157,20.979654,20.984784,1,172.343895,38.390899,286.665762
4,85,3.09E+19,67.693131,33.717756,36.530917,1,50.467126,20.030324,26.142847,1,67.486938,33.032103,35.843596
4,86,3.73E+19,91.727077,17.976557,17.979806,1,90.365249,17.53246,17.532683,1,92.111172,17.997751,18.003709
4,87,7.31E+20,88.092504,29.685345,29.710142,1,91.184996,31.135093,31.137917,1,86.916116,29.135317,29.190538
4,88,4.35E+20,122.310714,31.351779,36.965876,1,117.116522,29.88355,33.469105,1,127.84916,32.602114,41.128354
4,89,3.71E+18,123.899732,19.134537,22.913174,1,88.556555,12.588599,12.599621,0,0,0,0
4,90,9.39E+18,73.264303,13.45679,14.113697,1,73.646038,13.560641,14.19268,1,75.133159,14.024786,14.565132
4,91,1.80E+20,92.284515,37.188291,37.20965,1,98.828929,40.539044,40.991243,0,0,0,0
4,92,1.57E+20,135.429676,32.116461,45.524288,1,103.025186,23.921641,24.499827,1,138.225278,32.449421,48.443918
4,93,3.42E+20,139.882039,9.93987,15.173412,1,92.583183,5.982161,5.982395,1,136.808389,9.46158,13.594644
4,94,8.43E+20,82.105878,32.439376,32.778976,1,83.21767,33.071436,33.329668,1,140.904211,60.885742,96.295604
4,95,3.72E+20,44.976019,30.56662,43.458262,1,43.323132,28.606716,41.918788,1,41.724825,27.073834,40.916442
4,96,3.32E+19,125.863708,36.4977,44.891707,1,101.78381,28.094521,28.658309,1,168.741712,43.612291,222.381603
4,97,1.05E+19,153.041581,16.233655,35.413987,1,136.915854,14.916035,21.622695,0,0,0,0
4,98,1.49E+20,102.53514,22.379761,22.881577,1,103.177867,22.578164,23.141688,1,108.689422,23.995198,25.262375
4,99,8.18E+19,126.032543,35.384364,43.610461,1,99.826385,26.113042,26.467942,0,0,0,0
4,100,1.27E+20,75.800753,11.083126,11.492591,1,72.100909,10.241632,10.838792,1,78.74782,11.727849,12.00536
4,101,3.51E+20,98.562776,23.778411,24.001502,1,73.256321,17.043896,17.895978,0,0,0,0
4,102,4.12E+19,79.343203,39.837304,40.583668,1,85.814521,44.784623,44.923109,1,74.265674,36.071192,37.545713
4,103,5.39E+19,65.678988,23.415112,25.787735,1,62.381285,21.439585,24.303402,1,63.702334,22.26001,24.930541
4,104,4.07E+17,89.922198,4.444188,4.448962,1,112.712845,5.730943,6.132278,0,0,0,0
4,105,2.28E+19,86.787911,24.879394,24.932509,1,79.5529,21.678245,22.087148,1,88.233026,25.246039,25.266165
4,106,5.05E+19,125.488986,20.283249,24.751849,1,125.484869,20.231031,24.686679,0,0,0,0
4,107,9.29E+18,86.469389,14.490032,14.531646,1,84.013601,13.894506,13.993634,1,86.547666,14.507119,14.547269
4,108,2.55E+20,86.482899,39.267687,39.357475,1,82.599588,36.938507,37.281049,0,0,0,0
4,109,9.00E+19,57.055167,27.111631,32.437043,1,56.673574,26.827842,32.240067,1,55.513196,26.075136,31.772844
