Seed,ID,Energy,Angle(deg),Impact(km),Ground(km),Triggered,Angle(deg),Impact(km),Ground(km),Cherenkov,Angle(deg),Impact(km),Ground(km)
7,53,1.76975e+19,101.266418,29.986300,30.535994,1,96.624728,28.085404,28.251486,1,118.526025,36.214784,41.109599
7,54,4.10814e+19,82.943665,29.585687,29.837372,1,82.875763,29.558944,29.815060,1,148.174384,56.906548,107.585583
7,55,2.36821e+20,69.031684,39.134631,41.993314,1,70.363952,40.340362,42.908745,1,120.312314,83.349683,96.423200
7,56,6.21591e+20,123.589012,37.171800,44.487749,1,111.690712,32.941177,35.371000,1,172.141233,45.248577,329.454641
7,57,9.21546e+19,44.209608,17.580502,25.419272,1,44.219114,17.555537,25.379108,1,44.258160,17.723829,25.602355
7,58,8.6918e+18,125.585886,10.973898,13.347592,1,127.714124,11.153629,13.941007,1,123.698359,10.710879,12.737900
7,59,1.34474e+20,116.126478,35.362855,39.289275,1,103.275531,30.634980,31.429362,1,118.761416,36.165380,41.145200
7,60,4.65289e+19,61.250103,27.818836,31.841023,1,61.140700,27.752441,31.799042,1,77.352738,40.300953,41.348623
7,61,4.59119e+20,108.499248,28.877250,30.363557,1,95.568116,24.488457,24.580330,1,111.287125,29.509695,31.569152
7,62,1.64436e+20,111.774308,16.598815,17.795149,1,111.524962,16.579588,17.744644,1,114.115449,16.936052,18.466858
7,63,1.37094e+19,128.005754,16.641699,20.920256,1,76.800985,8.065024,8.347245,0,0,0,0
7,64,6.78624e+19,54.707086,33.295263,40.938455,1,51.104761,29.623037,38.227646,1,162.392594,129.376024,427.052124
7,65,2.03329e+20,43.707455,17.543441,25.674762,1,42.749020,16.909828,25.205968,0,0,0,0
7,66,4.29343e+19,50.420458,29.761493,38.781701,1,48.454000,27.643389,37.115068,1,71.377826,51.661601,54.584231
7,67,5.78176e+20,26.825309,14.567556,32.690019,1,27.086412,14.775479,32.854108,0,0,0,0
7,68,2.62632e+19,89.999228,21.506985,21.507920,1,89.224773,21.250900,21.256497,1,89.919065,21.482489,21.483726
7,69,2.95593e+20,77.199252,7.867798,8.118843,1,74.454366,7.419919,7.763048,1,78.649709,8.099605,8.306074
7,70,1.84752e+19,89.794631,30.748997,30.751201,1,89.559804,30.637873,30.641841,1,87.514639,29.695286,29.735550
7,71,2.11237e+19,88.244004,33.259681,33.282041,1,80.567723,29.032405,29.464211,1,84.238651,31.093336,31.272018
7,72,7.17623e+20,89.595354,13.522305,13.525534,1,90.362816,13.608449,13.608925,1,86.503453,12.804008,12.841666
7,73,2.82531e+18,109.701148,15.017043,15.878851,1,93.079668,11.822351,11.830222,1,109.050951,14.590044,15.366271
7,74,4.16384e+20,38.713976,23.575775,38.110691,1,29.193642,15.040428,31.419947,0,0,0,0
7,75,7.62686e+18,89.650958,9.024714,9.028316,1,89.756066,9.049867,9.053010,1,87.966777,8.810030,8.824948
7,76,6.69767e+18,84.028368,10.129091,10.212774,1,78.303688,9.058860,9.304469,1,83.975147,10.075888,10.160427
7,77,1.46842e+20,116.969708,17.661744,19.628287,1,114.230912,17.247061,18.748235,0,0,0,0
