Seed,ID,Energy,Psi(deg),Impact(km),Ground(km),Triggered,Psi(deg),Impact(km),Ground(km),Cherenkov,Psi(deg),Impact(km),Ground(km)
2,1,6.41E+18,79.412417,13.332601,13.615577,1,76.263579,12.548776,12.985498,1,76.408396,12.648514,13.079448
2,2,4.30E+20,157.760506,16.850225,43.963497,1,48.596722,3.811865,5.287329,0,0,0,0
2,3,5.13E+20,105.461726,20.323396,21.021765,1,108.238469,20.97117,22.003003,1,102.752441,19.652562,20.096935
2,4,9.71E+18,120.257033,32.064002,37.003379,1,80.216758,18.166341,18.470402,1,122.516594,32.340159,38.224056
2,5,1.48E+18,87.628045,6.171199,6.188067,1,87.438629,6.156232,6.174638,1,89.008573,6.317513,6.325123
2,6,1.77E+20,112.247731,5.768679,6.043857,1,38.015706,1.62697,3.115438,0,0,0,0
2,7,2.20E+20,51.301972,30.356528,39.058551,1,51.191816,30.259833,38.995177,1,54.355869,33.411165,41.259191
2,8,6.55E+20,116.982286,17.906127,19.939269,1,97.226912,14.217959,14.296344,1,121.415986,18.344417,21.311163
2,9,4.94E+19,86.941914,23.957481,24.003271,1,86.584363,23.814584,23.869854,1,90.128165,25.194349,25.194769
2,10,6.07E+18,94.118593,14.447681,14.470646,1,76.729267,10.410134,10.750937,1,92.704635,13.917885,13.924623
2,11,4.45E+20,94.38454,30.20423,30.27805,1,61.258876,14.703606,16.881657,0,0,0,0
2,12,3.19E+19,128.153701,38.512516,48.796359,1,81.484303,21.398702,21.672788,1,175.231951,45.364808,543.012206
2,13,2.75E+20,98.887613,27.868459,28.175885,1,96.252171,26.854908,26.993954,1,106.01305,30.362998,31.530627
2,14,2.11E+19,82.191509,18.421247,18.633108,1,44.933677,8.325631,12.067128,0,0,0,0
2,15,3.23E+20,89.19871,13.562566,13.568205,1,92.740292,14.122557,14.130523,0,0,0,0
2,16,1.76E+19,92.475157,23.722993,23.737168,1,95.223518,24.462855,24.546993,1,91.655138,23.198925,23.203592
2,17,2.54E+20,77.865507,33.479311,34.30664,1,66.188609,25.401157,27.890066,1,84.990193,37.945553,38.116772
2,18,2.93E+18,108.185817,5.68927,5.919023,1,91.604757,4.477744,4.478834,1,106.981138,5.476485,5.662126
2,19,8.06E+20,84.255441,14.017978,14.112819,1,78.148631,12.394571,12.712985,1,85.746038,14.263692,14.321301
2,20,3.47E+20,89.005214,38.282612,38.292391,1,81.173671,33.384644,33.816464,1,171.43008,70.855614,474.15829
