Seed, ID, Energy, Psi, Impact, Triggered, Psi, Impact, Cherenkov, Psi, Impact
2, 57, 1.73171e+20, 0.477365, 12.976871, 0, 0.000000, 0.000000, 0, 0.000000, 0.000000
2, 58, 1.30274e+18, 1.724322, 13.869005, 0, 0.000000, 0.000000, 0, 0.000000, 0.000000
2, 59, 2.7732e+18, 1.599376, 38.244176, 0, 0.000000, 0.000000, 0, 0.000000, 0.000000
2, 60, 1.61325e+19, 1.882826, 37.314831, 0, 0.000000, 0.000000, 0, 0.000000, 0.000000
2, 61, 1.63127e+20, 1.518257, 36.154903, 1, 1.367358, 30.729150, 1, 1.581023, 37.965432
2, 62, 9.68611e+18, 1.818542, 6.217417, 1, 1.692630, 5.628391, 1, 1.830330, 6.176751
2, 63, 8.71075e+18, 1.353915, 29.915082, 0, 0.000000, 0.000000, 0, 0.000000, 0.000000
2, 64, 5.69246e+20, 1.433871, 32.203318, 0, 0.000000, 0.000000, 0, 0.000000, 0.000000
2, 65, 2.92764e+20, 1.641503, 18.188344, 1, 1.628909, 17.966684, 1, 1.688875, 18.839072
2, 66, 2.13989e+20, 1.413249, 4.992132, 1, 1.366773, 4.738903, 1, 1.411943, 5.010236
2, 67, 6.65608e+20, 1.643398, 19.619530, 0, 0.000000, 0.000000, 0, 0.000000, 0.000000
2, 68, 4.55047e+20, 1.290097, 24.142206, 0, 0.000000, 0.000000, 0, 0.000000, 0.000000
2, 69, 7.09546e+19, 1.409113, 32.147272, 1, 1.415281, 32.342725, 0, 0.000000, 0.000000
2, 70, 1.82734e+18, 0.718928, 11.197925, 0, 0.000000, 0.000000, 0, 0.000000, 0.000000
2, 71, 6.69119e+18, 1.495928, 7.230036, 0, 0.000000, 0.000000, 0, 0.000000, 0.000000
2, 72, 2.01704e+20, 1.495815, 16.322088, 0, 0.000000, 0.000000, 0, 0.000000, 0.000000
2, 73, 1.62469e+18, 2.531209, 30.260029, 0, 0.000000, 0.000000, 0, 0.000000, 0.000000
