Seed, ID, Energy, Psi, Impact, Triggered, Psi, Impact, Cherenkov, Psi, Impact
1,87,3.35E+20,2.358074,39.712222,1,2.907411,1641.614147,0,0,0
1,88,1.45E+19,0.553462,17.130154,0,0,0,0,0,0
1,89,2.57E+17,2.297628,21.667284,0,0,0,0,0,0
1,90,1.79E+17,2.669214,24.876985,0,0,0,0,0,0
1,91,1.45E+19,1.8178,32.411914,0,0,0,0,0,0
1,92,6.56E+18,2.005021,37.986219,0,0,0,0,0,0
1,93,2.82E+17,1.946898,12.897993,0,0,0,0,0,0
1,94,1.13E+17,2.090034,38.394867,0,0,0,0,0,0
1,95,2.42E+20,1.279224,18.466508,0,0,0,0,0,0
1,96,1.41E+20,1.273557,16.508778,0,0,0,0,0,0
1,97,7.24E+17,1.74276,10.101656,0,0,0,0,0,0
1,98,1.16E+20,1.766032,35.415315,1,1.817964,37.041624,0,0,0
1,99,2.56E+20,1.536867,35.43432,0,0,0,0,0,0
1,100,2.38E+18,1.960867,16.726508,0,0,0,0,0,0
1,101,7.24E+18,1.564809,36.427257,0,0,0,0,0,0
1,102,3.17E+17,1.490611,5.646235,0,0,0,0,0,0
1,103,1.32E+17,2.348558,25.081448,0,0,0,0,0,0
1,104,6.49E+19,0.884521,29.528113,1,0.919273,31.93154,0,0,0
1,105,3.19E+17,0.731484,28.440365,0,0,0,0,0,0
1,106,3.83E+20,1.942467,38.919889,1,1.625852,30.005077,0,0,0
1,107,3.14E+18,2.060346,31.34994,0,0,0,0,0,0
1,108,6.04E+17,2.350726,23.282858,0,0,0,0,0,0
1,109,2.57E+17,0.805128,21.718825,0,0,0,0,0,0
1,110,2.09E+19,0.825763,11.414363,1,0.790583,10.615993,0,0,0
1,111,1.70E+19,0.595814,9.497776,0,0,0,0,0,0
1,112,7.52E+19,1.617599,32.046064,1,1.572826,30.747497,1,2.214364,46.771248
1,113,4.99E+17,0.604767,13.058151,0,0,0,0,0,0
1,114,9.68E+18,0.491221,38.958576,0,0,0,0,0,0
1,115,2.74E+20,1.502086,35.955526,0,0,0,0,0,0
1,116,6.84E+19,1.191177,31.297452,1,0.946451,20.808688,1,1.593273,47.845313
1,117,4.36E+17,1.10806,34.59684,0,0,0,0,0,0
1,118,1.90E+20,1.993999,10.065198,0,0,0,0,0,0
1,119,1.59E+18,1.556803,33.96332,0,0,0,0,0,0
1,120,9.43E+18,0.72411,37.349183,0,0,0,0,0,0
1,121,5.60E+20,1.554651,4.409865,0,0,0,0,0,0
1,122,9.42E+19,3.022786,39.138316,1,0.622091,2.661831,0,0,0
1,123,1.66E+20,1.645668,34.283895,1,1.338076,24.310777,0,0,0
1,124,2.06E+17,1.285809,4.78767,0,0,0,0,0,0
1,125,8.37E+18,0.9508,38.035337,0,0,0,0,0,0
1,126,2.07E+19,1.8135,34.352742,1,1.45034,24.726697,1,1.897924,36.016049
1,127,2.54E+20,1.781293,27.646708,0,0,0,0,0,0
1,128,3.52E+18,1.985647,20.417266,0,0,0,0,0,0
1,129,1.21E+17,2.235233,33.493676,0,0,0,0,0,0
