Seed, ID, Energy, Psi, Impact, Triggered, Psi, Impact, Cherenkov, Psi, Impact
4, 1, 7.77566e+20, 2.075544, 29.658835, 0, 0.000000, 0.000000, 0, 0.000000, 0.000000
4, 2, 5.05889e+17, 1.292414, 39.176926, 0, 0.000000, 0.000000, 0, 0.000000, 0.000000
4, 3, 7.78798e+18, 0.567454, 3.364994, 0, 0.000000, 0.000000, 0, 0.000000, 0.000000
4, 4, 1.513e+20, 1.210377, 14.088732, 0, 0.000000, 0.000000, 0, 0.000000, 0.000000
4, 5, 2.74137e+20, 1.148189, 10.720372, 1, 1.073945, 9.579477, 1, 1.185141, 11.309716
4, 6, 8.42403e+17, 1.380494, 38.719601, 0, 0.000000, 0.000000, 0, 0.000000, 0.000000
4, 7, 8.04292e+19, 1.601550, 17.773497, 1, 1.579143, 17.113207, 0, 0.000000, 0.000000
4, 8, 4.11052e+20, 1.655686, 18.405165, 1, 1.750256, 19.742210, 1, 1.546633, 16.725876
4, 9, 1.03993e+20, 1.947625, 30.862094, 0, 0.000000, 0.000000, 0, 0.000000, 0.000000
4, 10, 3.25684e+18, 2.110442, 6.575854, 0, 0.000000, 0.000000, 0, 0.000000, 0.000000
4, 11, 2.22907e+19, 0.848265, 8.405746, 0, 0.000000, 0.000000, 0, 0.000000, 0.000000
4, 12, 4.35316e+18, 1.008008, 28.524858, 0, 0.000000, 0.000000, 0, 0.000000, 0.000000
4, 13, 1.76353e+18, 1.931243, 25.120450, 0, 0.000000, 0.000000, 0, 0.000000, 0.000000
4, 14, 2.04831e+19, 1.594601, 9.988651, 1, 1.547719, 9.629060, 0, 0.000000, 0.000000
4, 15, 5.98695e+19, 2.388148, 15.260138, 1, 1.321435, 6.742930, 0, 0.000000, 0.000000
4, 16, 1.74516e+17, 2.768221, 35.735661, 0, 0.000000, 0.000000, 0, 0.000000, 0.000000
4, 17, 1.4335e+18, 1.587519, 26.859956, 0, 0.000000, 0.000000, 0, 0.000000, 0.000000
4, 18, 5.2643e+19, 0.492671, 36.161489, 0, 0.000000, 0.000000, 0, 0.000000, 0.000000
4, 19, 3.74329e+17, 1.331606, 23.579045, 0, 0.000000, 0.000000, 0, 0.000000, 0.000000
4, 20, 1.20438e+18, 1.097868, 9.969504, 0, 0.000000, 0.000000, 0, 0.000000, 0.000000
4, 21, 1.66319e+20, 0.861503, 26.938989, 1, 0.848369, 26.247301, 1, 1.319787, 52.174170
4, 22, 2.3596e+19, 0.598315, 38.744151, 0, 0.000000, 0.000000, 0, 0.000000, 0.000000
4, 23, 2.48007e+17, 0.848484, 11.953505, 0, 0.000000, 0.000000, 0, 0.000000, 0.000000
4, 24, 3.16846e+18, 2.667593, 10.206621, 0, 0.000000, 0.000000, 0, 0.000000, 0.000000
4, 25, 6.13201e+18, 1.583686, 33.773097, 0, 0.000000, 0.000000, 0, 0.000000, 0.000000
4, 26, 5.937e+17, 2.042356, 7.665510, 0, 0.000000, 0.000000, 0, 0.000000, 0.000000
4, 27, 2.13761e+19, 0.862168, 38.736541, 0, 0.000000, 0.000000, 0, 0.000000, 0.000000
4, 28, 3.5641e+20, 1.659636, 24.975289, 1, 1.617277, 24.095295, 1, 1.740196, 26.527986
4, 29, 5.75162e+17, 1.584664, 25.100443, 0, 0.000000, 0.000000, 0, 0.000000, 0.000000
4, 30, 9.15209e+18, 2.103563, 21.184765, 0, 0.000000, 0.000000, 0, 0.000000, 0.000000
4, 31, 1.61758e+20, 2.287998, 14.714213, 0, 0.000000, 0.000000, 0, 0.000000, 0.000000
4, 32, 5.64313e+17, 2.526481, 5.405235, 0, 0.000000, 0.000000, 0, 0.000000, 0.000000
4, 33, 2.3832e+20, 1.478975, 33.313439, 1, 1.349593, 28.778408, 1, 1.783757, 42.724279
4, 34, 5.98881e+20, 2.643421, 23.219621, 1, 1.156701, 8.779565, 0, 0.000000, 0.000000
4, 35, 1.04302e+20, 0.932730, 24.404622, 1, 0.901921, 22.949422, 1, 1.014991, 27.867418
4, 36, 3.64877e+18, 2.022886, 30.221859, 0, 0.000000, 0.000000, 0, 0.000000, 0.000000
4, 37, 2.94565e+20, 1.474534, 38.077414, 0, 0.000000, 0.000000, 0, 0.000000, 0.000000
4, 38, 6.61565e+20, 1.523025, 16.925373, 0, 0.000000, 0.000000, 0, 0.000000, 0.000000
4, 39, 4.24572e+20, 3.094941, 14.328662, 0, 0.000000, 0.000000, 0, 0.000000, 0.000000
4, 40, 1.03748e+19, 1.202003, 26.824838, 0, 0.000000, 0.000000, 0, 0.000000, 0.000000
4, 41, 6.96101e+18, 0.811594, 11.659309, 0, 0.000000, 0.000000, 0, 0.000000, 0.000000
4, 42, 1.28587e+18, 1.393804, 32.019628, 0, 0.000000, 0.000000, 0, 0.000000, 0.000000
4, 43, 5.8618e+17, 2.412629, 39.213376, 0, 0.000000, 0.000000, 0, 0.000000, 0.000000
4, 44, 8.22973e+20, 1.754839, 9.911243, 1, 1.491416, 7.620985, 1, 1.766482, 9.748528
